census_tract,Longitude,Latitude,EV Level1 EVSE Num,EV Level1 Power Output (kW),EV Level2 EVSE Num,EV Level2 Power Output (kW),EV DC Fast Count,EV CHAdeMO Connector Count,EV CHAdeMO Power Output (kW),EV CCS Connector Count,EV CCS Power Output (kW),EV J3400 Connector Count,EV J3400 Power Output (kW),EV other DC Fast Count,EV other DC Fast Power Output (kW)
06001982100,-122.250055,37.875902,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250027,37.875928,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250014,37.875985,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250014,37.875985,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250014,37.875985,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250014,37.875985,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250014,37.875985,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001425103,-122.291794,37.845358,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422000,-122.290192,37.853235,0.0,1,3.0,7.2,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001409000,-122.2018642,37.7274296,0.0,1,1.0,10.8,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001402900,-122.267307,37.806087,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001402900,-122.267317,37.806121,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001402900,-122.26735,37.806095,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001402900,-122.267285,37.806087,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001402900,-122.267293,37.806089,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422400,-122.27309,37.874052,0.0,1,2.0,7.2,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422901,-122.268936,37.866473,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.272921,37.8028027,0.0,1,9.0,6.2,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001401300,-122.264137,37.821515,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001401300,-122.264133,37.82146,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001401300,-122.264027,37.821428,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423902,-122.258595,37.856103,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423902,-122.258484,37.855858,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423902,-122.258515,37.855967,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423902,-122.25847,37.855787,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423902,-122.258563,37.856127,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423500,-122.266962,37.863948,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423500,-122.266957,37.863944,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423500,-122.266728,37.863934,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423500,-122.267247,37.863443,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423500,-122.266855,37.863952,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423500,-122.2669,37.863956,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423500,-122.266929,37.863951,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423902,-122.25856,37.856045,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422100,-122.295227,37.876105,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001401300,-122.26795,37.812782,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001401300,-122.26786,37.812626,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423500,-122.267515,37.860998,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423500,-122.267517,37.861065,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422000,-122.305478,37.864414,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001404502,-122.209039,37.827289,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423500,-122.267566,37.861517,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423500,-122.267613,37.861532,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001402900,-122.270485,37.805,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001402900,-122.27058,37.805065,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001401300,-122.265025,37.820594,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001401300,-122.26509,37.820611,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001401300,-122.264982,37.820585,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001401300,-122.265228,37.820575,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001401300,-122.265336,37.820583,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001401300,-122.264982,37.820594,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001401300,-122.264939,37.820585,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001402900,-122.270559,37.804916,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001401300,-122.265422,37.820499,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001401300,-122.265742,37.815672,0.0,1,1.0,7.7,0.0,0,0.0,0,0.0,0,0.0,0.0,0
